iter	Passed	Remaining
1215	22332	32763
1216	22350	32744
1217	22368	32725
1218	22386	32707
1219	22403	32687
1220	22421	32667
1221	22437	32647
1222	22454	32626
1223	22473	32608
1224	22489	32587
1225	22507	32567
1226	22527	32551
1227	22545	32532
1228	22562	32513
1229	22581	32494
1230	22598	32474
1231	22615	32454
1232	22633	32435
1233	22650	32416
1234	22669	32398
1235	22686	32378
1236	22705	32359
1237	22723	32341
1238	22741	32323
1239	22758	32302
1240	22776	32283
1241	22792	32262
1242	22810	32242
1243	22826	32221
1244	22844	32202
1245	22862	32183
1246	22880	32164
1247	22898	32146
1248	22917	32129
1249	22935	32110
1250	22952	32090
1251	22971	32071
1252	22989	32052
1253	23006	32032
1254	23024	32014
1255	23042	31995
1256	23060	31975
1257	23077	31955
1258	23094	31935
1259	23112	31917
1260	23129	31897
1261	23147	31878
1262	23165	31859
1263	23183	31840
1264	23200	31819
1265	23217	31799
1266	23235	31780
1267	23252	31761
1268	23270	31742
1269	23288	31724
1270	23306	31705
1271	23324	31685
1272	23342	31666
1273	23358	31646
1274	23376	31627
1275	23395	31609
1276	23415	31592
1277	23434	31576
1278	23451	31555
1279	23469	31536
1280	23486	31516
1281	23503	31497
1282	23521	31478
1283	23539	31459
1284	23557	31440
1285	23573	31419
1286	23590	31399
1287	23607	31379
1288	23631	31368
1289	23652	31352
1290	23671	31335
1291	23690	31318
1292	23709	31300
1293	23727	31282
1294	23745	31263
1295	23764	31245
1296	23785	31231
1297	23803	31212
1298	23822	31195
1299	23840	31175
1300	23857	31156
1301	23874	31136
1302	23892	31117
1303	23910	31097
1304	23928	31078
1305	23945	31058
1306	23963	31040
1307	23980	31020
1308	23997	31000
1309	24014	30980
1310	24032	30961
1311	24049	30942
1312	24066	30922
1313	24084	30902
1314	24102	30883
1315	24119	30864
1316	24137	30845
1317	24155	30827
1318	24175	30810
1319	24193	30791
1320	24212	30774
1321	24229	30754
1322	24246	30734
1323	24264	30715
1324	24282	30696
1325	24298	30676
1326	24316	30656
1327	24334	30637
1328	24351	30618
1329	24370	30600
1330	24386	30578
1331	24403	30559
1332	24420	30539
1333	24438	30520
1334	24456	30501
1335	24474	30482
1336	24490	30462
1337	24509	30445
1338	24529	30428
1339	24546	30408
1340	24564	30389
1341	24581	30370
1342	24599	30350
1343	24617	30331
1344	24635	30313
1345	24653	30294
1346	24669	30274
1347	24686	30253
1348	24702	30232
1349	24720	30213
1350	24737	30194
1351	24755	30175
1352	24772	30155
1353	24789	30135
1354	24807	30117
1355	24825	30098
1356	24843	30079
1357	24860	30059
1358	24877	30039
1359	24894	30020
1360	24912	30000
1361	24930	29982
1362	24947	29962
1363	24964	29942
1364	24982	29923
1365	24999	29904
1366	25016	29884
1367	25032	29863
1368	25049	29843
1369	25067	29824
1370	25084	29804
1371	25100	29784
1372	25118	29764
1373	25136	29746
1374	25154	29728
1375	25172	29709
1376	25191	29691
1377	25209	29673
1378	25225	29652
1379	25243	29633
1380	25261	29614
1381	25278	29595
1382	25295	29575
1383	25313	29556
1384	25330	29537
1385	25350	29520
1386	25367	29501
1387	25386	29483
1388	25403	29463
1389	25421	29444
1390	25439	29426
1391	25456	29407
1392	25474	29387
1393	25491	29368
1394	25508	29348
1395	25526	29329
1396	25544	29311
1397	25562	29292
1398	25579	29272
1399	25596	29252
1400	25613	29233
1401	25631	29214
1402	25649	29195
1403	25667	29177
1404	25684	29158
1405	25702	29138
1406	25718	29118
1407	25735	29099
1408	25754	29080
1409	25771	29061
1410	25789	29042
1411	25807	29024
1412	25825	29005
1413	25842	28986
1414	25861	28968
1415	25877	28947
1416	25894	28927
1417	25911	28908
1418	25929	28889
1419	25947	28871
1420	25965	28852
1421	25981	28831
1422	25998	28812
1423	26015	28792
1424	26033	28774
1425	26051	28755
1426	26068	28735
1427	26084	28714
1428	26103	28697
1429	26120	28678
1430	26138	28658
1431	26156	28640
1432	26173	28620
1433	26189	28600
1434	26207	28581
1435	26224	28562
1436	26242	28543
1437	26259	28523
1438	26276	28504
1439	26293	28484
1440	26310	28465
1441	26329	28447
1442	26346	28427
1443	26365	28410
1444	26382	28390
1445	26399	28371
1446	26416	28351
1447	26433	28332
1448	26452	28314
1449	26470	28295
1450	26488	28277
1451	26506	28258
1452	26522	28238
1453	26540	28219
1454	26557	28200
1455	26574	28180
1456	26591	28161
1457	26609	28142
1458	26626	28122
1459	26643	28103
1460	26661	28085
1461	26678	28065
1462	26695	28045
1463	26713	28027
1464	26729	28007
1465	26748	27989
1466	26765	27970
1467	26783	27951
1468	26802	27933
1469	26820	27915
1470	26838	27897
1471	26856	27878
1472	26873	27858
1473	26889	27838
1474	26906	27818
1475	26924	27799
1476	26942	27781
1477	26959	27762
1478	26976	27742
1479	26994	27723
1480	27011	27704
1481	27028	27685
1482	27047	27667
1483	27064	27648
1484	27082	27629
1485	27100	27611
1486	27118	27592
1487	27135	27573
1488	27155	27556
1489	27172	27537
1490	27189	27518
1491	27207	27499
1492	27225	27480
1493	27244	27462
1494	27262	27444
1495	27279	27424
1496	27296	27405
1497	27314	27387
1498	27330	27367
1499	27348	27348
1500	27365	27329
1501	27383	27310
1502	27401	27291
1503	27419	27273
1504	27436	27253
1505	27454	27235
1506	27471	27216
1507	27489	27197
1508	27506	27178
1509	27523	27159
1510	27541	27140
1511	27559	27121
1512	27577	27103
1513	27595	27085
1514	27613	27066
1515	27630	27047
1516	27648	27028
1517	27666	27009
1518	27683	26991
1519	27701	26972
1520	27718	26953
1521	27736	26934
1522	27755	26916
1523	27772	26897
1524	27788	26877
1525	27805	26857
1526	27821	26837
1527	27839	26819
1528	27856	26800
1529	27874	26780
1530	27891	26762
1531	27908	26742
1532	27925	26723
1533	27942	26704
1534	27960	26685
1535	27978	26666
1536	27996	26648
1537	28014	26630
1538	28031	26610
1539	28049	26592
1540	28066	26573
1541	28084	26554
1542	28101	26535
1543	28119	26516
1544	28136	26497
1545	28154	26478
1546	28171	26460
1547	28188	26440
1548	28206	26421
1549	28224	26403
1550	28242	26384
1551	28260	26366
1552	28280	26349
1553	28299	26332
1554	28316	26313
1555	28334	26294
1556	28352	26276
1557	28369	26257
1558	28386	26237
1559	28402	26217
1560	28419	26198
1561	28436	26179
1562	28455	26161
1563	28472	26142
1564	28490	26123
1565	28507	26104
1566	28525	26085
1567	28543	26067
1568	28560	26048
1569	28577	26029
1570	28595	26010
1571	28612	25991
1572	28630	25972
1573	28648	25954
1574	28664	25934
1575	28681	25915
1576	28699	25896
1577	28715	25876
1578	28733	25858
1579	28751	25839
1580	28768	25820
1581	28786	25802
1582	28803	25783
1583	28821	25764
1584	28838	25745
1585	28856	25727
1586	28874	25708
1587	28893	25690
1588	28910	25672
1589	28928	25653
1590	28946	25635
1591	28964	25616
1592	28981	25597
1593	28998	25578
1594	29016	25559
1595	29033	25540
1596	29050	25521
1597	29067	25501
1598	29085	25483
1599	29102	25465
1600	29120	25446
1601	29139	25428
1602	29157	25410
1603	29174	25391
1604	29192	25373
1605	29210	25354
1606	29228	25335
1607	29245	25317
1608	29263	25298
1609	29280	25279
1610	29297	25260
1611	29315	25242
1612	29333	25223
1613	29351	25205
1614	29368	25186
1615	29387	25168
1616	29404	25149
1617	29421	25130
1618	29438	25111
1619	29455	25092
1620	29473	25073
1621	29492	25055
1622	29510	25037
1623	29527	25018
1624	29544	24999
1625	29563	24981
1626	29580	24962
1627	29597	24943
1628	29614	24924
1629	29632	24905
1630	29649	24886
1631	29667	24868
1632	29686	24850
1633	29703	24831
1634	29720	24812
1635	29738	24794
1636	29756	24776
1637	29774	24757
1638	29790	24737
1639	29808	24718
1640	29825	24700
1641	29843	24681
1642	29860	24662
1643	29878	24644
1644	29895	24625
1645	29913	24606
1646	29931	24588
1647	29949	24570
1648	29968	24552
1649	29986	24534
1650	30003	24515
1651	30020	24495
1652	30038	24477
1653	30055	24458
1654	30073	24439
1655	30090	24421
1656	30108	24403
1657	30126	24384
1658	30145	24366
1659	30162	24348
1660	30181	24330
1661	30197	24310
1662	30213	24291
1663	30232	24273
